city,country
Tel Aviv-Yafo,Israel
Jerusalem,Israel
Haifa,Israel
Rishon LeẔiyyon,Israel
Petaẖ Tiqwa,Israel
Ashdod,Israel
Netanya,Israel
Beersheba,Israel
Bené Beraq,Israel
Holon,Israel
Ramat Gan,Israel
Bat Yam,Israel
Ashqelon,Israel
Reẖovot,Israel
Bet Shemesh,Israel
Kefar Sava,Israel
Herẕliyya,Israel
Nazareth,Israel
Ra‘ananna,Israel
Ramla,Israel
Givatayim,Israel
Hod HaSharon,Israel
Qiryat Ata,Israel
Rosh Ha‘Ayin,Israel
Umm el Faḥm,Israel
Nes Ẕiyyona,Israel
Qiryat Ono,Israel
El‘ad,Israel
Ramat HaSharon,Israel
Karmiel,Israel
Ben Zakkay,Israel
Qiryat Bialik,Israel
Or Yehuda,Israel
Shefar‘am,Israel
Yehud,Israel
Giv‘at Shemu’él,Israel
Kefar Yona,Israel
Gedera,Israel
Eṭ Ṭīra,Israel
Gan Yavne,Israel
Kafr Qāsim,Israel
Qalansuwa,Israel
Hadera,Israel
Modi‘in Makkabbim Re‘ut,Israel
Lod,Israel
Rahat,Israel
Qiryat Gat,Israel
Nahariyya,Israel
Afula,Israel
Eilat,Israel
‘Akko,Israel
Tiberias,Israel
Pardés H̱anna Karkur,Israel
Qiryat Moẕqin,Israel
Eṭ Ṭaiyiba,Israel
Qiryat Yam,Israel
Ma‘alot Tarshīḥā,Israel
Ẕefat,Israel
Tamra,Israel
Dimona,Israel
Sakhnīn,Israel
Netivot,Israel
Ofaqim,Israel
Migdal Ha‘Emeq,Israel
Nesher,Israel
Arad,Israel
Tirat Karmel,Israel
Sederot,Israel
Qiryat Mal’akhi,Israel
Qiryat Shemona,Israel
Yoqne‘am ‘Illit,Israel
Be’er Ya‘aqov,Israel
Or ‘Aqiva,Israel
Bet She’an,Israel
Majdal Shams,Israel
Jisr ez Zarqā,Israel
Atlit,Israel